Text_Clean,Latitude,Longitude,Country,coordinates,city
"so excited when i spotted these last night    
 snacks  ",53.46599239,-2.34888433,GB,"[53.46599239, -2.34888433]",Greater Manchester
 twiddle beads now in stock  fidget  crunch  shape great for stress and ideal  toys for  adhd  ,52.4501076,-2.0503151,GB,"[52.4501076, -2.0503151]",West Midlands
cabinet confirms cuts to herefordshire young peoples service   herefordshire ,52.06135345,-2.70685047,GB,"[52.06135345, -2.70685047]",Herefordshire
west end debut for st joseph s pupils performing shakespeare alongside stage    bedfordshire ,51.88994716,-0.52664839,GB,"[51.88994716, -0.52664839]",Central Bedfordshire
  cannabis three machetes baseball bat and clown mask seized from car   birmingham ,52.48416375,-1.89943716,GB,"[52.48416375, -1.89943716]",West Midlands
on this day in history   featuring the queen elvis presley and henry viii   derbyshire ,52.91767339,-1.46509096,GB,"[52.91767339, -1.46509096]",Derby
campaign is launched to find more musical instruments for ymca members   chelmsford ,51.72200302,0.49540199,GB,"[51.72200302, 0.49540199]",Essex
i have theyre taking the hobbits remix stuck in my head  ,52.2734724,-0.8750646999999999,GB,"[52.2734724, -0.8750646999999999]",Northamptonshire
congratulations to lisa celebrating  years today at tops hair salon  amp  beauty we would like to  ,51.37231920000001,-2.1385321,GB,"[51.37231920000001, -2.1385321]",Wiltshire
untitled ava  copyright crash taylor  blackandwhitephoto  blackandwhitephotography  mystery  ,52.7462692,-1.47049,GB,"[52.7462692, -1.47049]",Leicestershire
something exciting has arrived from west yorkshire  vivianwestwools  newyarn at vivian westwools ,53.8192691,-3.0499433,GB,"[53.8192691, -3.0499433]",Blackpool
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa rising slowly,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
i cant get enough   ilovelondoninthespringtime at st james park westminster ,51.50240291,-0.12979948,GB,"[51.50240291, -0.12979948]",Greater London
londonpop  internationalfashionshowcase  gq  nyfw  lfw  talnts  vogue  newyorkfashionweek  ,51.51106761,-0.11714464,GB,"[51.51106761, -0.11714464]",Greater London
bats    swifts   rare wildlife could scupper new football club ground   burnhamoncrouch ,51.6301173,0.81552029,GB,"[51.6301173, 0.81552029]",Essex
see our latest  lancasterlancashire  job and click to apply  retail advisor hrs lancaster fixed term     retail,54.046575,-2.8007399,GB,"[54.046575, -2.8007399]",Lancashire
